unique_id,ds,y,split,etiqueta,m
D1,1995-09-01,1528.1,entrenamiento,tendencia limpia,1
D1,1995-09-02,1526.6,entrenamiento,tendencia limpia,1
D1,1995-09-03,1530.0,entrenamiento,tendencia limpia,1
D1,1995-09-04,1530.2,entrenamiento,tendencia limpia,1
D1,1995-09-05,1523.5,entrenamiento,tendencia limpia,1
D1,1995-09-06,1525.4,entrenamiento,tendencia limpia,1
D1,1995-09-07,1518.4,entrenamiento,tendencia limpia,1
D1,1995-09-08,1520.3,entrenamiento,tendencia limpia,1
D1,1995-09-09,1523.7,entrenamiento,tendencia limpia,1
D1,1995-09-10,1524.7,entrenamiento,tendencia limpia,1
D1,1995-09-11,1525.2,entrenamiento,tendencia limpia,1
D1,1995-09-12,1530.4,entrenamiento,tendencia limpia,1
D1,1995-09-13,1530.5,entrenamiento,tendencia limpia,1
D1,1995-09-14,1531.3,entrenamiento,tendencia limpia,1
D1,1995-09-15,1532.3,entrenamiento,tendencia limpia,1
D1,1995-09-16,1527.0,entrenamiento,tendencia limpia,1
D1,1995-09-17,1523.6,entrenamiento,tendencia limpia,1
D1,1995-09-18,1521.0,entrenamiento,tendencia limpia,1
D1,1995-09-19,1522.4,entrenamiento,tendencia limpia,1
D1,1995-09-20,1528.3,entrenamiento,tendencia limpia,1
D1,1995-09-21,1530.1,entrenamiento,tendencia limpia,1
D1,1995-09-22,1535.2,entrenamiento,tendencia limpia,1
D1,1995-09-23,1534.8,entrenamiento,tendencia limpia,1
D1,1995-09-24,1533.4,entrenamiento,tendencia limpia,1
D1,1995-09-25,1535.1,entrenamiento,tendencia limpia,1
D1,1995-09-26,1530.5,entrenamiento,tendencia limpia,1
D1,1995-09-27,1532.0,entrenamiento,tendencia limpia,1
D1,1995-09-28,1534.1,entrenamiento,tendencia limpia,1
D1,1995-09-29,1535.8,entrenamiento,tendencia limpia,1
D1,1995-09-30,1532.6,entrenamiento,tendencia limpia,1
D1,1995-10-01,1536.7,entrenamiento,tendencia limpia,1
