unique_id,ds,y,split,etiqueta,m
H317,2010-06-05 08:00:00,19.1,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 09:00:00,20.8,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 10:00:00,22.6,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 11:00:00,24.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 12:00:00,25.4,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 13:00:00,26.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 14:00:00,27.0,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 15:00:00,27.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 16:00:00,27.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 17:00:00,26.9,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 18:00:00,26.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 19:00:00,24.7,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 20:00:00,22.0,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 21:00:00,20.0,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 22:00:00,18.8,entrenamiento,horaria con ciclo diario,24
H317,2010-06-05 23:00:00,18.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 00:00:00,17.6,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 01:00:00,16.6,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 02:00:00,15.8,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 03:00:00,15.1,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 04:00:00,14.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 05:00:00,13.8,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 06:00:00,14.8,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 07:00:00,17.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 08:00:00,19.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 09:00:00,21.0,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 10:00:00,22.7,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 11:00:00,24.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 12:00:00,25.6,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 13:00:00,26.4,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 14:00:00,27.1,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 15:00:00,27.4,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 16:00:00,27.4,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 17:00:00,27.0,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 18:00:00,26.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 19:00:00,24.9,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 20:00:00,22.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 21:00:00,20.2,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 22:00:00,18.9,entrenamiento,horaria con ciclo diario,24
H317,2010-06-06 23:00:00,18.3,entrenamiento,horaria con ciclo diario,24
H317,2010-06-07 00:00:00,17.7,entrenamiento,horaria con ciclo diario,24
