unique_id,ds,y,split,etiqueta,m
M35927,1988-02-01,1062.0,entrenamiento,estacionalidad marcada,12
M35927,1988-03-01,1067.0,entrenamiento,estacionalidad marcada,12
M35927,1988-04-01,1080.0,entrenamiento,estacionalidad marcada,12
M35927,1988-05-01,1081.0,entrenamiento,estacionalidad marcada,12
M35927,1988-06-01,1094.0,entrenamiento,estacionalidad marcada,12
M35927,1988-07-01,1098.0,entrenamiento,estacionalidad marcada,12
M35927,1988-08-01,1084.0,entrenamiento,estacionalidad marcada,12
M35927,1988-09-01,1086.0,entrenamiento,estacionalidad marcada,12
M35927,1988-10-01,1097.0,entrenamiento,estacionalidad marcada,12
M35927,1988-11-01,1113.0,entrenamiento,estacionalidad marcada,12
M35927,1988-12-01,1119.0,entrenamiento,estacionalidad marcada,12
M35927,1989-01-01,1122.0,entrenamiento,estacionalidad marcada,12
M35927,1989-02-01,1107.0,entrenamiento,estacionalidad marcada,12
M35927,1989-03-01,1119.0,entrenamiento,estacionalidad marcada,12
M35927,1989-04-01,1124.0,entrenamiento,estacionalidad marcada,12
M35927,1989-05-01,1144.0,entrenamiento,estacionalidad marcada,12
M35927,1989-06-01,1152.0,entrenamiento,estacionalidad marcada,12
M35927,1989-07-01,1152.0,entrenamiento,estacionalidad marcada,12
M35927,1989-08-01,1139.0,entrenamiento,estacionalidad marcada,12
M35927,1989-09-01,1139.0,entrenamiento,estacionalidad marcada,12
M35927,1989-10-01,1156.0,entrenamiento,estacionalidad marcada,12
M35927,1989-11-01,1167.0,entrenamiento,estacionalidad marcada,12
M35927,1989-12-01,1176.0,entrenamiento,estacionalidad marcada,12
M35927,1990-01-01,1176.0,entrenamiento,estacionalidad marcada,12
M35927,1990-02-01,1161.0,entrenamiento,estacionalidad marcada,12
M35927,1990-03-01,1175.0,entrenamiento,estacionalidad marcada,12
M35927,1990-04-01,1184.0,entrenamiento,estacionalidad marcada,12
M35927,1990-05-01,1199.0,entrenamiento,estacionalidad marcada,12
M35927,1990-06-01,1205.0,entrenamiento,estacionalidad marcada,12
M35927,1990-07-01,1204.0,entrenamiento,estacionalidad marcada,12
M35927,1990-08-01,1182.0,entrenamiento,estacionalidad marcada,12
M35927,1990-09-01,1193.0,entrenamiento,estacionalidad marcada,12
M35927,1990-10-01,1219.0,entrenamiento,estacionalidad marcada,12
M35927,1990-11-01,1228.0,entrenamiento,estacionalidad marcada,12
M35927,1990-12-01,1236.0,entrenamiento,estacionalidad marcada,12
M35927,1991-01-01,1236.0,entrenamiento,estacionalidad marcada,12
M35927,1991-02-01,1200.0,entrenamiento,estacionalidad marcada,12
M35927,1991-03-01,1215.0,entrenamiento,estacionalidad marcada,12
M35927,1991-04-01,1227.0,entrenamiento,estacionalidad marcada,12
M35927,1991-05-01,1251.0,entrenamiento,estacionalidad marcada,12
M35927,1991-06-01,1258.0,entrenamiento,estacionalidad marcada,12
M35927,1991-07-01,1259.0,entrenamiento,estacionalidad marcada,12
M35927,1991-08-01,1221.0,entrenamiento,estacionalidad marcada,12
M35927,1991-09-01,1225.0,entrenamiento,estacionalidad marcada,12
M35927,1991-10-01,1260.0,entrenamiento,estacionalidad marcada,12
M35927,1991-11-01,1273.0,entrenamiento,estacionalidad marcada,12
M35927,1991-12-01,1273.0,entrenamiento,estacionalidad marcada,12
M35927,1992-01-01,1276.0,entrenamiento,estacionalidad marcada,12
M35927,1992-02-01,1225.0,entrenamiento,estacionalidad marcada,12
M35927,1992-03-01,1238.0,entrenamiento,estacionalidad marcada,12
M35927,1992-04-01,1256.0,entrenamiento,estacionalidad marcada,12
M35927,1992-05-01,1261.0,entrenamiento,estacionalidad marcada,12
M35927,1992-06-01,1264.0,entrenamiento,estacionalidad marcada,12
M35927,1992-07-01,1265.0,entrenamiento,estacionalidad marcada,12
M35927,1992-08-01,1219.0,entrenamiento,estacionalidad marcada,12
M35927,1992-09-01,1220.0,entrenamiento,estacionalidad marcada,12
M35927,1992-10-01,1259.0,entrenamiento,estacionalidad marcada,12
M35927,1992-11-01,1273.0,entrenamiento,estacionalidad marcada,12
M35927,1992-12-01,1271.0,entrenamiento,estacionalidad marcada,12
M35927,1993-01-01,1266.0,entrenamiento,estacionalidad marcada,12
M35927,1993-02-01,1219.0,entrenamiento,estacionalidad marcada,12
M35927,1993-03-01,1241.0,entrenamiento,estacionalidad marcada,12
M35927,1993-04-01,1257.0,entrenamiento,estacionalidad marcada,12
M35927,1993-05-01,1269.0,entrenamiento,estacionalidad marcada,12
M35927,1993-06-01,1276.0,entrenamiento,estacionalidad marcada,12
M35927,1993-07-01,1265.0,entrenamiento,estacionalidad marcada,12
M35927,1993-08-01,1230.0,entrenamiento,estacionalidad marcada,12
M35927,1993-09-01,1247.0,entrenamiento,estacionalidad marcada,12
M35927,1993-10-01,1284.0,entrenamiento,estacionalidad marcada,12
M35927,1993-11-01,1285.0,entrenamiento,estacionalidad marcada,12
M35927,1993-12-01,1286.0,entrenamiento,estacionalidad marcada,12
M35927,1994-01-01,1283.0,entrenamiento,estacionalidad marcada,12
M35927,1994-02-01,1227.0,entrenamiento,estacionalidad marcada,12
M35927,1994-03-01,1258.0,entrenamiento,estacionalidad marcada,12
M35927,1994-04-01,1271.0,entrenamiento,estacionalidad marcada,12
M35927,1994-05-01,1275.0,entrenamiento,estacionalidad marcada,12
M35927,1994-06-01,1278.0,entrenamiento,estacionalidad marcada,12
M35927,1994-07-01,1273.0,entrenamiento,estacionalidad marcada,12
M35927,1994-08-01,1230.0,entrenamiento,estacionalidad marcada,12
M35927,1994-09-01,1256.0,entrenamiento,estacionalidad marcada,12
M35927,1994-10-01,1284.0,entrenamiento,estacionalidad marcada,12
M35927,1994-11-01,1281.0,entrenamiento,estacionalidad marcada,12
M35927,1994-12-01,1289.0,entrenamiento,estacionalidad marcada,12
M35927,1995-01-01,1291.0,entrenamiento,estacionalidad marcada,12
M35927,1995-02-01,1238.0,entrenamiento,estacionalidad marcada,12
M35927,1995-03-01,1255.0,entrenamiento,estacionalidad marcada,12
M35927,1995-04-01,1271.0,entrenamiento,estacionalidad marcada,12
M35927,1995-05-01,1283.0,entrenamiento,estacionalidad marcada,12
M35927,1995-06-01,1291.0,entrenamiento,estacionalidad marcada,12
M35927,1995-07-01,1285.0,entrenamiento,estacionalidad marcada,12
M35927,1995-08-01,1235.0,entrenamiento,estacionalidad marcada,12
M35927,1995-09-01,1258.0,entrenamiento,estacionalidad marcada,12
M35927,1995-10-01,1298.0,entrenamiento,estacionalidad marcada,12
M35927,1995-11-01,1295.0,entrenamiento,estacionalidad marcada,12
M35927,1995-12-01,1301.0,entrenamiento,estacionalidad marcada,12
M35927,1996-01-01,1305.0,entrenamiento,estacionalidad marcada,12
M35927,1996-02-01,1242.0,entrenamiento,estacionalidad marcada,12
M35927,1996-03-01,1256.0,entrenamiento,estacionalidad marcada,12
M35927,1996-04-01,1270.0,entrenamiento,estacionalidad marcada,12
M35927,1996-05-01,1283.0,entrenamiento,estacionalidad marcada,12
M35927,1996-06-01,1285.0,entrenamiento,estacionalidad marcada,12
M35927,1996-07-01,1283.0,entrenamiento,estacionalidad marcada,12
M35927,1996-08-01,1228.0,entrenamiento,estacionalidad marcada,12
M35927,1996-09-01,1244.0,entrenamiento,estacionalidad marcada,12
M35927,1996-10-01,1300.0,entrenamiento,estacionalidad marcada,12
M35927,1996-11-01,1298.0,entrenamiento,estacionalidad marcada,12
M35927,1996-12-01,1311.0,entrenamiento,estacionalidad marcada,12
M35927,1997-01-01,1310.0,entrenamiento,estacionalidad marcada,12
M35927,1997-02-01,1245.0,entrenamiento,estacionalidad marcada,12
M35927,1997-03-01,1256.0,entrenamiento,estacionalidad marcada,12
M35927,1997-04-01,1276.0,entrenamiento,estacionalidad marcada,12
M35927,1997-05-01,1282.0,entrenamiento,estacionalidad marcada,12
M35927,1997-06-01,1288.0,entrenamiento,estacionalidad marcada,12
M35927,1997-07-01,1287.0,entrenamiento,estacionalidad marcada,12
M35927,1997-08-01,1241.0,entrenamiento,estacionalidad marcada,12
M35927,1997-09-01,1261.0,entrenamiento,estacionalidad marcada,12
M35927,1997-10-01,1298.0,entrenamiento,estacionalidad marcada,12
M35927,1997-11-01,1295.0,entrenamiento,estacionalidad marcada,12
M35927,1997-12-01,1306.0,entrenamiento,estacionalidad marcada,12
M35927,1998-01-01,1303.0,entrenamiento,estacionalidad marcada,12
M35927,1998-02-01,1235.0,entrenamiento,estacionalidad marcada,12
M35927,1998-03-01,1258.0,entrenamiento,estacionalidad marcada,12
M35927,1998-04-01,1279.0,entrenamiento,estacionalidad marcada,12
M35927,1998-05-01,1282.0,entrenamiento,estacionalidad marcada,12
M35927,1998-06-01,1295.0,entrenamiento,estacionalidad marcada,12
M35927,1998-07-01,1292.0,entrenamiento,estacionalidad marcada,12
M35927,1998-08-01,1235.0,entrenamiento,estacionalidad marcada,12
M35927,1998-09-01,1259.0,entrenamiento,estacionalidad marcada,12
M35927,1998-10-01,1297.0,entrenamiento,estacionalidad marcada,12
M35927,1998-11-01,1288.0,entrenamiento,estacionalidad marcada,12
M35927,1998-12-01,1296.0,entrenamiento,estacionalidad marcada,12
M35927,1999-01-01,1294.0,entrenamiento,estacionalidad marcada,12
M35927,1999-02-01,1224.0,entrenamiento,estacionalidad marcada,12
M35927,1999-03-01,1250.0,entrenamiento,estacionalidad marcada,12
M35927,1999-04-01,1264.0,entrenamiento,estacionalidad marcada,12
M35927,1999-05-01,1263.0,entrenamiento,estacionalidad marcada,12
M35927,1999-06-01,1272.0,entrenamiento,estacionalidad marcada,12
M35927,1999-07-01,1271.0,entrenamiento,estacionalidad marcada,12
M35927,1999-08-01,1222.0,entrenamiento,estacionalidad marcada,12
M35927,1999-09-01,1236.0,entrenamiento,estacionalidad marcada,12
M35927,1999-10-01,1272.0,entrenamiento,estacionalidad marcada,12
M35927,1999-11-01,1263.0,entrenamiento,estacionalidad marcada,12
M35927,1999-12-01,1267.0,entrenamiento,estacionalidad marcada,12
M35927,2000-01-01,1262.0,entrenamiento,estacionalidad marcada,12
M35927,2000-02-01,1194.0,entrenamiento,estacionalidad marcada,12
M35927,2000-03-01,1227.0,entrenamiento,estacionalidad marcada,12
M35927,2000-04-01,1241.0,entrenamiento,estacionalidad marcada,12
M35927,2000-05-01,1246.0,entrenamiento,estacionalidad marcada,12
M35927,2000-06-01,1251.0,entrenamiento,estacionalidad marcada,12
M35927,2000-07-01,1242.0,entrenamiento,estacionalidad marcada,12
M35927,2000-08-01,1177.0,entrenamiento,estacionalidad marcada,12
M35927,2000-09-01,1194.0,entrenamiento,estacionalidad marcada,12
M35927,2000-10-01,1230.0,entrenamiento,estacionalidad marcada,12
M35927,2000-11-01,1229.0,entrenamiento,estacionalidad marcada,12
M35927,2000-12-01,1233.0,entrenamiento,estacionalidad marcada,12
M35927,2001-01-01,1230.0,entrenamiento,estacionalidad marcada,12
M35927,2001-02-01,1166.0,entrenamiento,estacionalidad marcada,12
M35927,2001-03-01,1228.0,entrenamiento,estacionalidad marcada,12
M35927,2001-04-01,1245.0,entrenamiento,estacionalidad marcada,12
M35927,2001-05-01,1234.0,entrenamiento,estacionalidad marcada,12
M35927,2001-06-01,1242.0,entrenamiento,estacionalidad marcada,12
M35927,2001-07-01,1241.0,entrenamiento,estacionalidad marcada,12
M35927,2001-08-01,1177.0,entrenamiento,estacionalidad marcada,12
M35927,2001-09-01,1201.0,entrenamiento,estacionalidad marcada,12
M35927,2001-10-01,1232.0,entrenamiento,estacionalidad marcada,12
M35927,2001-11-01,1221.0,entrenamiento,estacionalidad marcada,12
M35927,2001-12-01,1222.0,entrenamiento,estacionalidad marcada,12
M35927,2002-01-01,1221.0,entrenamiento,estacionalidad marcada,12
M35927,2002-02-01,1173.0,entrenamiento,estacionalidad marcada,12
M35927,2002-03-01,1172.0,entrenamiento,estacionalidad marcada,12
