fecha,y,split
1990-01-01,6021.6,entrenamiento
1990-02-01,5889.52,entrenamiento
1990-03-01,5681.0,entrenamiento
1990-04-01,5504.2,entrenamiento
1990-05-01,5505.76,entrenamiento
1990-06-01,5343.52,entrenamiento
1990-07-01,5464.16,entrenamiento
1990-08-01,5431.4,entrenamiento
1990-09-01,5467.28,entrenamiento
1990-10-01,5604.56,entrenamiento
1990-11-01,5327.92,entrenamiento
1990-12-01,5245.24,entrenamiento
1991-01-01,5217.16,entrenamiento
1991-02-01,5223.4,entrenamiento
1991-03-01,4993.04,entrenamiento
1991-04-01,4922.84,entrenamiento
1991-05-01,4733.04,entrenamiento
1991-06-01,4931.16,entrenamiento
1991-07-01,4888.52,entrenamiento
1991-08-01,4683.12,entrenamiento
1991-09-01,4550.52,entrenamiento
1991-10-01,4415.84,entrenamiento
1991-11-01,4424.68,entrenamiento
1991-12-01,4881.24,entrenamiento
1992-01-01,4763.2,entrenamiento
1992-02-01,4828.72,entrenamiento
1992-03-01,4655.56,entrenamiento
1992-04-01,4663.36,entrenamiento
1992-05-01,4551.56,entrenamiento
1992-06-01,4484.48,entrenamiento
1992-07-01,4527.64,entrenamiento
1992-08-01,4699.76,entrenamiento
1992-09-01,4770.48,entrenamiento
1992-10-01,4701.32,entrenamiento
1992-11-01,4573.92,entrenamiento
1992-12-01,4572.88,entrenamiento
1993-01-01,4478.24,entrenamiento
1993-02-01,4520.36,entrenamiento
1993-03-01,4554.16,entrenamiento
1993-04-01,4611.36,entrenamiento
1993-05-01,4813.12,entrenamiento
1993-06-01,5048.68,entrenamiento
1993-07-01,5117.84,entrenamiento
1993-08-01,5076.24,entrenamiento
1993-09-01,5077.28,entrenamiento
1993-10-01,5113.16,entrenamiento
1993-11-01,5150.08,entrenamiento
1993-12-01,5350.8,entrenamiento
1994-01-01,5617.04,entrenamiento
1994-02-01,5612.36,entrenamiento
1994-03-01,5565.04,entrenamiento
1994-04-01,5702.84,entrenamiento
1994-05-01,6183.84,entrenamiento
1994-06-01,6019.0,entrenamiento
1994-07-01,5982.08,entrenamiento
1994-08-01,5632.64,entrenamiento
1994-09-01,5971.68,entrenamiento
1994-10-01,6079.32,entrenamiento
1994-11-01,6121.44,entrenamiento
1994-12-01,6498.44,entrenamiento
1995-01-01,6480.76,entrenamiento
1995-02-01,6554.6,entrenamiento
1995-03-01,6351.8,entrenamiento
1995-04-01,6175.52,entrenamiento
1995-05-01,6276.4,entrenamiento
1995-06-01,6316.44,entrenamiento
1995-07-01,6320.08,entrenamiento
1995-08-01,6260.28,entrenamiento
1995-09-01,6372.6,entrenamiento
1995-10-01,6664.84,entrenamiento
1995-11-01,6741.8,entrenamiento
1995-12-01,7089.16,entrenamiento
1996-01-01,6791.2,entrenamiento
1996-02-01,6856.72,entrenamiento
1996-03-01,6728.8,entrenamiento
1996-04-01,6747.52,entrenamiento
1996-05-01,6687.2,entrenamiento
1996-06-01,6290.96,entrenamiento
1996-07-01,6328.92,entrenamiento
1996-08-01,6334.12,entrenamiento
1996-09-01,6242.08,entrenamiento
1996-10-01,6247.8,entrenamiento
1996-11-01,6143.28,entrenamiento
1996-12-01,6163.56,entrenamiento
1997-01-01,6381.96,entrenamiento
1997-02-01,6190.6,entrenamiento
1997-03-01,6281.6,entrenamiento
1997-04-01,6458.92,entrenamiento
1997-05-01,6665.88,entrenamiento
1997-06-01,6537.44,entrenamiento
1997-07-01,6575.4,entrenamiento
1997-08-01,6656.52,entrenamiento
1997-09-01,6603.48,entrenamiento
1997-10-01,6528.08,entrenamiento
1997-11-01,6834.36,entrenamiento
1997-12-01,6829.68,entrenamiento
1998-01-01,6738.68,entrenamiento
1998-02-01,6876.48,entrenamiento
1998-03-01,6938.36,entrenamiento
1998-04-01,7059.36,entrenamiento
1998-05-01,7024.68,entrenamiento
1998-06-01,7007.0,entrenamiento
1998-07-01,7194.72,prueba
1998-08-01,7104.24,prueba
1998-09-01,7335.12,prueba
1998-10-01,7485.4,prueba
1998-11-01,7724.6,prueba
1998-12-01,7485.4,prueba
1999-01-01,9239.38,prueba
1999-02-01,9299.38,prueba
1999-03-01,9740.0,prueba
1999-04-01,9728.13,prueba
1999-05-01,22458.05,prueba
1999-06-01,22506.45,prueba
1999-07-01,22244.25,prueba
1999-08-01,20983.13,prueba
1999-09-01,20420.25,prueba
1999-10-01,18696.0,prueba
1999-11-01,18411.0,prueba
1999-12-01,20092.5,prueba
